X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766325.26;6284599.52;0.11;0.2;21;880;49.6;57.2
766325.27;6284594.98;0.12;0.12;31;960;58.2;49.2
766325.36;6284592.33;0.19;0.11;21;1520;50.3;57.2
766325.46;6284589.27;0.13;0.11;18;1040;46.1;59.6
766325.57;6284586.14;0.13;0.13;24;1040;51.7;54.8
766325.67;6284584.39;0.08;0.12;30;640;55.9;50
766325.79;6284580.42;0.12;0.09;24;960;50.7;54.8
766325.78;6284577.14;0.12;0.13;22;960;49.6;56.4
766325.82;6284574.62;0.14;0.08;21;1120;48.4;57.2
766326.01;6284571.51;0.13;0.06;22;1040;48.7;56.4
766326.09;6284568.86;0.15;0.07;25;1200;52.2;54
766326.14;6284565.27;0.23;0.15;16;1840;47.6;61.2
766326.17;6284563.24;0.08;0.2;5;640;30.5;78
766326.32;6284558.33;0.01;0;18;80;81.1;30
766326.27;6284556.36;0.17;0.05;3;1360;46.2;59.6
766326.34;6284552.54;0.13;0.12;23;1040;31.7;76.4
766326.41;6284550.87;0.16;0.09;23;1280;50.9;55.6
766326.44;6284547.99;0.17;0.1;26;1360;51.4;55.6
766326.59;6284545.06;0.15;0.09;29;1200;53.5;53.2
766326.71;6284542.36;0.17;0.13;26;1360;57.9;50.8
766326.84;6284539.44;0.16;0.13;31;1280;54.5;53.2
766326.94;6284535.59;0.17;0.04;31;1360;58.2;49.2
766326.91;6284532.86;0.17;0.23;34;1360;62.1;49.2
766323.67;6284531.61;0.21;0.18;28;1680;65.9;46.8
766321.96;6284532.89;0.23;0.12;29;1840;58.5;51.6
766321.8;6284536.29;0.22;0.09;29;1760;58.7;50.8
766321.7;6284539.16;0.17;0.06;21;1360;56.5;50.8
766321.6;6284541.9;0.2;0.09;27;1600;50.2;57.2
766321.56;6284544.78;0.12;0.1;27;960;53.8;52.4
766321.52;6284547.77;0.16;0.13;31;1280;55.5;52.4
766321.48;6284550.51;0.2;0.11;24;1600;60.6;49.2
766321.37;6284553.73;0.17;0.08;12;1360;52;54.8
766321.35;6284557.37;0.22;0.14;20;1760;43.9;64.4
766321.27;6284559.49;0.13;0.13;25;1040;48.1;58
766321.17;6284562.34;0.17;0.12;22;1360;53.7;54
766321.06;6284565.46;0.14;0.11;31;1120;49.8;56.4
766321.04;6284568.57;0.2;0.08;8;1600;60;49.2
766320.93;6284571.36;0.25;0.12;24;2000;41.2;67.6
766320.83;6284573.68;0.15;0.1;24;1200;51.8;54.8
766320.77;6284576.86;0.19;0.08;25;1520;52.5;54.8
766320.72;6284579.21;0.14;0.08;32;1120;52.1;54
766320.58;6284582.11;0.08;0.18;23;640;59.2;48.4
766320.54;6284585.79;0.17;0.1;27;1360;51.4;55.6
766320.5;6284588.61;0.13;0.14;32;1040;54.8;52.4
766320.44;6284591.54;0.13;0.14;26;1040;60;48.4
766320.33;6284594.38;0.2;0.09;16;1600;55;53.2
766320.28;6284597.05;0.16;0.2;28;1280;46.6;61.2
766320.24;6284600.18;0.16;0.14;26;1280;56.7;51.6
766320.19;6284603.09;0.23;0.17;29;1840;57.4;53.2
766320.07;6284606.11;0.2;0.12;27;1600;58.6;50.8
766320.01;6284609.29;0.14;0.14;32;1120;55.1;52.4
766319.94;6284611.7;0.19;0.09;29;1520;60.9;48.4
766319.88;6284615.17;0.08;0.16;35;640;55.7;50.8
766319.83;6284617.68;0.12;0.16;20;960;63.4;46
766319.75;6284620.77;0.17;0.19;22;1360;50.2;58
766319.66;6284623.68;0.14;0.13;14;1120;50.2;56.4
766319.57;6284626.93;0.2;0.18;24;1600;45.6;62.8
766319.51;6284630.09;0.15;0.16;25;1200;52.8;54.8
766319.46;6284632.48;0.15;0.17;25;1200;54;54
766319.37;6284635.21;0.16;0.15;16;1280;53.9;54
766319.39;6284638.29;0.15;0.39;20;1200;49.5;61.2
766319.35;6284640.16;0.09;0.42;27;720;52;58
766319.1;6284644.21;0.18;0.1;28;1440;55.5;52.4
766316.14;6284642.88;0.2;0.22;23;1600;59.6;51.6
766314.26;6284638.35;0.14;0.11;22;1120;50.7;55.6
766314.34;6284635.62;0.14;0.07;26;1120;49.2;56.4
766314.5;6284632.69;0.1;0.08;34;800;51.9;53.2
766314.44;6284628.51;0.09;1.02;17;720;82.2;46.8
766314.48;6284627.05;0.12;0.1;4;960;44.9;60.4
766314.69;6284622.88;0.15;0.04;12;1200;30.6;77.2
766314.73;6284620.34;0.16;0.14;16;1280;42.5;64.4
766314.77;6284617.82;0.15;0.07;25;1200;44.3;61.2
766314.84;6284614.93;0.11;0.07;20;880;51;54
766314.92;6284611.71;0.13;0.1;25;1040;47.6;58
766315.02;6284608.72;0.11;0.1;22;880;51.6;54
766315.07;6284605.63;0.12;0.09;26;960;48.9;56.4
766315.1;6284603.3;0.11;0.2;10;880;54.3;53.2
766315.14;6284599.95;0.16;0.12;16;1280;40.7;66
766315.18;6284597.97;0.13;0.12;26;1040;44.6;61.2
766315.35;6284593.39;0.11;0.13;14;880;53;53.2
766315.4;6284591.58;0.17;0.15;27;1360;44.4;62.8
766315.56;6284588.31;0.14;0.12;14;1120;54.7;52.4
766315.66;6284586.46;0.21;0.24;28;1680;28.2;85.2
766315.79;6284581.63;0.13;0.11;29;1040;55.2;51.6
766315.74;6284579.17;0.15;0.09;19;1200;56.5;50.8
766315.8;6284575.64;0.22;0.08;21;1760;48.8;58.8
766315.86;6284573.43;0.14;0.09;31;1120;48.6;57.2
766315.98;6284570.72;0.1;0.06;22;800;56.4;49.2
766316.04;6284567.9;0.15;0.1;15;1200;49.9;56.4
766316.09;6284565.02;0.13;0.11;34;1040;43.7;62
766316.27;6284561.01;0.13;0.12;28;1040;61.7;46.8
766316.28;6284559.03;0.17;0.15;34;1360;57.2;51.6
