X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766656.27;6284830.46;0.6;0.26;0.57;4800
766659.03;6284828.95;0.41;0.31;0.64;3280
766660.71;6284828.07;0.56;0.36;0.72;4480
766664.27;6284826.17;0.52;0.14;0.7;4160
766665.97;6284825.27;0.51;0.19;0.67;4080
766668.91;6284823.83;0.52;0.13;0.69;4160
766670.85;6284822.71;0.51;0.22;0.69;4080
766674.12;6284821;0.57;0.14;0.71;4560
766677.79;6284819.16;0.54;0.08;0.63;4320
766679.74;6284818.13;0.43;0.16;0.65;3440
766682.35;6284816.77;0.48;0.15;0.7;3840
766685.35;6284815.26;0.47;0.13;0.68;3760
