X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766646.09;6284810.22;0.4;0.16;49;3200;44.1;56.8
766648.68;6284808.83;0.37;0.14;45;2960;40.1;60
766651.15;6284807.62;0.44;0.14;53;3520;48.1;53.6
766653.81;6284806.18;0.47;0.3;48;3760;47.2;57.6
766656.65;6284804.66;0.45;0.15;54;3600;49.4;52.8
766659.14;6284803.38;0.5;0.12;34;4000;35;68.8
766662.22;6284801.71;0.44;0.12;49;3520;44.4;56.8
766663.86;6284800.88;0.5;0.07;28;4000;30.9;73.6
766667.16;6284799.07;0.48;0.12;53;3840;48.8;53.6
766669.56;6284797.86;0.51;0.12;42;4080;40.7;62.4
766672.1;6284796.54;0.45;0.15;54;3600;49.4;52.8
766674.97;6284795.01;0.42;0.16;41;3360;38.6;63.2
766676.65;6284794.12;0.51;0.1;40;4080;39;64
766679.74;6284792.38;0.42;0.11;54;3360;47.9;52.8
766682.11;6284791.12;0.43;0.11;48;3440;43.3;57.6
766684.77;6284789.73;0.45;0.09;46;3600;41.9;59.2
766687.62;6284788.29;0.54;0.11;28;4320;32;73.6
766690.03;6284787.06;0.46;0.07;47;3680;42.6;58.4
766693.04;6284785.52;0.48;0.08;52;3840;47.3;54.4
766694.22;6284784.85;0.49;0.05;37;3920;35.9;66.4
766698.52;6284782.6;0.51;0.09;32;4080;33.6;70.4
766700.41;6284781.64;0.3;0.18;23;2400;26.3;77.6
766703.23;6284780.08;0.54;0.07;31;4320;33.3;71.2
766705.02;6284779.18;0.41;0.16;37;3280;35.7;66.4
766708.8;6284777.14;0.45;0.18;47;3600;44;58.4
766711.22;6284775.88;0.47;0.11;44;3760;41.1;60.8
766714.04;6284774.32;0.41;0.14;57;3280;50.9;50.4
766716.33;6284773.05;0.5;0.18;38;4000;38.4;65.6
766718.98;6284771.68;0.38;0.22;56;3040;50.5;51.2
766721.13;6284770.57;0.44;0.14;54;3520;49;52.8
766724.53;6284768.78;0.44;0.07;50;3520;44.5;56
766727.24;6284767.3;0.4;0.12;60;3200;53;48
766729.64;6284766.07;0.4;0.19;59;3200;53.4;48.8
766732.27;6284764.58;0.4;0.13;59;3200;52.3;48.8
766735.14;6284763.2;0.43;0.12;59;3440;52.9;48.8
766738.08;6284761.73;0.44;0.13;48;3520;43.8;57.6
766740.44;6284760.43;0.37;0.13;54;2960;47;52.8
766742.93;6284759.06;0.39;0.08;54;3120;46.7;52.8
766745.9;6284757.34;0.38;0.11;55;3040;47.8;52
766747.78;6284756.29;0.43;0.1;36;3440;34.7;67.2
766751.56;6284754.5;0.47;0.06;47;3760;42.7;58.4
766754.05;6284753.06;0.33;0.1;50;2640;42.3;56
