X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766301.09;6284570.13;0.18;0.15;18;1440;54.4
766301;6284572.39;0.18;0.07;23;1440;58
766300.88;6284575.53;0.18;0.11;19;1440;54.5
766300.84;6284578.39;0.17;0.12;19;1360;54.4
766300.79;6284580.94;0.19;0.14;30;1520;66.9
766300.71;6284583.61;0.17;0.11;26;1360;61.1
766300.58;6284586.82;0.15;0.09;27;1200;61
766300.47;6284589.92;0.17;0.11;33;1360;69
766300.42;6284592.74;0.22;0.11;25;1760;62.4
766300.36;6284595.74;0.25;0.22;17;2000;56.7
766300.31;6284598.74;0.18;0.14;23;1440;58.8
766300.23;6284601.51;0.4;0.25;17;3200;47.7
766300.1;6284604.4;0.15;0.1;16;1200;52.6
766300.03;6284607.41;0.18;0.09;26;1440;61.4
766299.96;6284610.24;0.18;0.07;32;1440;67.9
766299.84;6284613.32;0.18;0.17;13;1440;52.6
766299.65;6284615.5;0.18;0.09;10;1440;50.8
